iter	MultiClass
0	2.171984937
1	2.1484843
2	2.128457176
3	2.112923553
4	2.092664223
5	2.076780196
6	2.068467647
7	2.060291152
8	2.042218062
9	2.029303141
10	2.017632886
11	2.002737949
12	1.992059548
13	1.983701169
14	1.972202446
15	1.964413106
16	1.949985005
17	1.937135851
18	1.927521584
19	1.918262662
20	1.910150736
21	1.901886482
22	1.893114097
23	1.882400006
24	1.87126428
25	1.864715932
26	1.858368001
27	1.849821833
28	1.839423286
29	1.828379718
30	1.820821738
31	1.816166345
32	1.811351722
33	1.811091777
34	1.803717998
35	1.793886944
36	1.788517031
37	1.780258935
38	1.776117595
39	1.769789454
40	1.764056104
41	1.760475954
42	1.752850924
43	1.744874908
44	1.738114635
45	1.734596611
46	1.728109692
47	1.722905284
48	1.718387175
49	1.708411466
50	1.703826617
51	1.698221977
52	1.688707775
53	1.680844875
54	1.676909324
55	1.67261921
56	1.667998646
57	1.665827404
58	1.656832123
59	1.6533986
60	1.648948864
61	1.64246479
62	1.640062373
63	1.629575241
64	1.625294346
65	1.618528207
66	1.612704534
67	1.604336045
68	1.6013054
69	1.596894357
70	1.591658968
71	1.588906045
72	1.583011298
73	1.57844917
74	1.567933478
75	1.559992076
76	1.553443458
77	1.549400884
78	1.543345253
79	1.535788881
80	1.531620325
81	1.52813621
82	1.524568688
83	1.51928202
84	1.517545744
85	1.514636509
86	1.509626092
87	1.504855938
88	1.501458234
89	1.497482074
90	1.493980899
91	1.488910031
92	1.484561718
93	1.477061163
94	1.472784901
95	1.462702749
96	1.457901766
97	1.455434466
98	1.451625823
99	1.447676677
100	1.441578435
101	1.437133775
102	1.432579992
103	1.425502263
104	1.419374845
105	1.411794418
106	1.408664158
107	1.405251549
108	1.401604938
109	1.398500905
110	1.395203692
111	1.393349751
112	1.387497013
113	1.379575066
114	1.371502525
115	1.368727164
116	1.364625035
117	1.360680828
118	1.354877784
119	1.350248861
120	1.346213919
121	1.340811772
122	1.336060212
123	1.332192127
124	1.330324675
125	1.326276709
126	1.323543693
127	1.317947255
128	1.31505079
129	1.309341408
130	1.306343652
131	1.302130923
132	1.297358453
133	1.293022667
134	1.289282111
135	1.286927239
136	1.282886844
137	1.278723625
138	1.274366973
139	1.271096849
140	1.265174041
141	1.261849088
142	1.257503733
143	1.251861854
144	1.24747991
145	1.243471293
146	1.239058921
147	1.234827179
148	1.23132038
149	1.225700614
150	1.222524469
151	1.219671295
152	1.213427048
153	1.208950425
154	1.204031651
155	1.200014524
156	1.197210892
157	1.194263657
158	1.190723907
159	1.188207097
160	1.184673021
161	1.18166335
162	1.176999473
163	1.172725774
164	1.170231152
165	1.164464894
166	1.159598632
167	1.157276807
168	1.154592864
169	1.150711525
170	1.147230517
171	1.143664017
172	1.139172633
173	1.135034427
174	1.130764779
175	1.126954516
176	1.122425227
177	1.119515181
178	1.117118707
179	1.11367389
180	1.109605168
181	1.104773139
182	1.102829261
183	1.100194246
184	1.095582293
185	1.093553339
186	1.091618653
187	1.08846424
188	1.085932021
189	1.083067212
190	1.079733779
191	1.075828692
192	1.074839355
193	1.069619277
194	1.067244624
195	1.063178391
196	1.057804794
197	1.052650197
198	1.049718938
199	1.046256
200	1.042371808
201	1.04099516
202	1.037565421
203	1.033975729
204	1.031136755
205	1.029788709
206	1.026644556
207	1.023510676
208	1.020885619
209	1.018046821
210	1.015729116
211	1.013221183
212	1.010286207
213	1.009030772
214	1.006828158
215	1.003228848
216	0.9998928438
217	0.9970418832
218	0.9938414098
219	0.9912329518
220	0.9887482105
221	0.9856524006
222	0.9822335582
223	0.9809040466
224	0.9791406432
225	0.9768468812
226	0.9739263236
227	0.971427846
228	0.9680443774
229	0.9648272543
230	0.9629528024
231	0.9602843872
232	0.9577945294
233	0.9558718589
234	0.9522085219
235	0.949803874
236	0.945587111
237	0.9413710296
238	0.9391217234
239	0.9364280319
240	0.9341540058
241	0.9320076296
242	0.9301903682
243	0.9273397964
244	0.9259502863
245	0.9238667142
246	0.9213213078
247	0.9184059116
248	0.9158560459
249	0.9132058869
250	0.911121359
251	0.9082036018
252	0.9068550536
253	0.9029224025
254	0.9012642761
255	0.8989706608
256	0.8960167234
257	0.8929069148
258	0.890194242
259	0.8873589491
260	0.8864239236
261	0.8817916766
262	0.8779811395
263	0.8763928127
264	0.8745908871
265	0.8711196385
266	0.8689009287
267	0.8677269595
268	0.8664915494
269	0.8647543689
270	0.8615835725
271	0.8586934368
272	0.8569999628
273	0.8554387839
274	0.8540168606
275	0.8515696287
276	0.8494143491
277	0.8476717452
278	0.8449432066
279	0.8429139539
280	0.8401043817
281	0.8392361179
282	0.8365204509
283	0.8345146665
284	0.8329154379
285	0.8304896843
286	0.8275467565
287	0.8253754231
288	0.8234647039
289	0.8210526877
290	0.8195379729
291	0.8174284072
292	0.8146684893
293	0.8114999996
294	0.8104014179
295	0.8098995668
296	0.8087964555
297	0.8064855634
298	0.803577442
299	0.8028098808
300	0.8016515642
301	0.799820906
302	0.7976474742
303	0.7950697079
304	0.7928310939
305	0.7903722293
306	0.7886340989
307	0.786762862
308	0.7836915713
309	0.7826798298
310	0.7808138302
311	0.7794543102
312	0.7776620444
313	0.7750406273
314	0.7725501315
315	0.770313555
316	0.7680332853
317	0.7653157566
318	0.7638598936
319	0.762168665
320	0.7612667816
321	0.759216448
322	0.7567253486
323	0.7547492363
324	0.7532018052
325	0.7517494138
326	0.7503158831
327	0.7491849587
328	0.7474020483
329	0.7456247946
330	0.7444676072
331	0.7434209888
332	0.7427903188
333	0.7411894238
334	0.7390539748
335	0.7363549746
336	0.7344615181
337	0.7323009276
338	0.7291369299
339	0.7283100537
340	0.7254682817
341	0.724082341
342	0.7224677674
343	0.7213233921
344	0.7192888406
345	0.7182112333
346	0.7172492412
347	0.7161463511
348	0.714098458
349	0.7128012781
350	0.7106420545
351	0.709607759
352	0.7086587977
353	0.7064596431
354	0.7043766118
355	0.7038799754
356	0.7017650054
357	0.7000511942
358	0.6979691437
359	0.696145398
360	0.694115516
361	0.6916017938
362	0.6897203758
363	0.6868227988
364	0.6844166543
365	0.6831562755
366	0.6824893189
367	0.680469065
368	0.6788845259
369	0.6768717517
370	0.6750343369
371	0.6729793361
372	0.671335596
373	0.6702575666
374	0.669334841
375	0.6669269226
376	0.6651100661
377	0.6636724114
378	0.6623339128
379	0.6615729545
380	0.6599027686
381	0.6586347452
382	0.6570581226
383	0.6551816631
384	0.6546167003
385	0.6537195384
386	0.6531878495
387	0.6514249394
388	0.6504253175
389	0.648954549
390	0.6479549771
391	0.6465566486
392	0.6448181215
393	0.6442750879
394	0.6431972869
395	0.6425457422
396	0.6408156027
397	0.639838876
398	0.6393062352
399	0.6375818059
400	0.6359804955
401	0.6343587698
402	0.6325847458
403	0.6307701541
404	0.6290003914
405	0.6275972408
406	0.6268354474
407	0.6253438869
408	0.6240535457
409	0.62295168
410	0.6212380716
411	0.6197132452
412	0.6174352929
413	0.6161332338
414	0.6148006258
415	0.61258202
416	0.6115382262
417	0.6099865343
418	0.6090764273
419	0.6077505514
420	0.6066039141
421	0.6052661278
422	0.604183715
423	0.6035868065
424	0.6024712901
425	0.6010012762
426	0.5992719485
427	0.5981150527
428	0.5971439163
429	0.5961331491
430	0.5953062488
431	0.5937973571
432	0.5929763396
433	0.5924149503
434	0.5914092014
435	0.5898673841
436	0.5878703236
437	0.5863453781
438	0.5854539307
439	0.5844778985
440	0.583594
441	0.5823653295
442	0.580797008
443	0.5798422801
444	0.5787316587
445	0.5774286479
446	0.576089173
447	0.5750738277
448	0.5740235681
449	0.5721878456
450	0.5715121468
451	0.5705356689
452	0.5698164172
453	0.5679460331
