iter	Passed	Remaining
0	3	3233
1	8	4300
2	11	3806
3	13	3454
4	16	3273
5	19	3180
6	21	3100
7	24	3020
8	27	2997
9	29	2959
10	32	2927
11	35	2904
12	38	2894
13	41	2898
14	43	2887
15	46	2840
16	48	2816
17	51	2792
18	53	2758
19	55	2731
20	58	2710
21	60	2689
22	62	2670
23	65	2658
24	67	2642
25	70	2640
26	72	2615
27	74	2597
28	76	2578
29	79	2561
30	81	2560
31	84	2564
32	87	2559
33	88	2507
34	90	2495
35	92	2484
36	94	2471
37	97	2460
38	99	2452
39	102	2449
40	104	2443
41	106	2435
42	108	2425
43	111	2416
44	113	2416
45	116	2413
46	118	2406
47	120	2396
48	123	2388
49	125	2379
50	127	2371
51	129	2369
52	132	2367
53	135	2366
54	137	2359
55	139	2350
56	141	2343
57	144	2341
58	146	2337
59	148	2331
60	151	2325
61	153	2325
62	155	2318
63	158	2314
64	160	2308
65	163	2307
66	165	2306
67	167	2302
68	170	2299
69	172	2294
70	175	2290
71	177	2284
72	179	2280
73	182	2278
74	184	2278
75	187	2278
76	189	2272
77	191	2269
78	194	2264
79	196	2261
80	199	2257
81	201	2253
82	203	2248
83	205	2243
84	208	2239
85	210	2236
86	212	2233
87	215	2228
88	217	2224
89	219	2223
90	222	2218
91	224	2216
92	226	2212
93	229	2210
94	231	2206
95	233	2202
96	236	2198
97	238	2196
98	240	2192
99	243	2189
100	245	2185
101	248	2185
102	250	2181
103	252	2178
104	255	2175
105	257	2171
106	259	2167
107	261	2162
108	264	2158
109	266	2155
110	268	2151
111	270	2148
112	273	2143
113	275	2140
114	278	2139
115	280	2135
116	282	2133
117	285	2130
118	287	2127
119	289	2124
120	291	2120
121	294	2118
122	296	2115
123	298	2111
124	301	2110
125	303	2107
126	306	2104
127	308	2101
128	310	2096
129	312	2093
130	315	2089
131	317	2086
132	319	2084
133	322	2081
134	324	2078
135	326	2074
136	328	2071
137	331	2068
138	333	2067
139	336	2064
140	338	2061
141	340	2058
142	343	2055
143	345	2053
144	347	2051
145	350	2048
146	352	2044
147	354	2041
148	356	2037
149	359	2034
150	361	2030
151	363	2029
152	366	2026
153	368	2024
154	370	2022
155	373	2018
156	375	2015
157	377	2013
158	379	2009
159	382	2008
160	384	2005
161	387	2002
162	389	1999
163	391	1996
164	393	1992
165	396	1991
166	398	1987
167	400	1985
168	403	1982
169	405	1979
170	407	1977
171	410	1975
172	412	1973
173	415	1971
174	417	1967
175	419	1966
176	422	1963
177	424	1960
178	426	1957
179	429	1955
180	431	1952
181	433	1949
182	435	1946
183	438	1943
184	440	1941
185	442	1938
186	445	1935
187	447	1932
188	449	1930
189	452	1927
190	454	1923
191	456	1921
192	458	1918
193	460	1915
194	463	1912
195	465	1909
196	467	1906
197	470	1903
198	472	1900
199	474	1897
200	476	1895
201	479	1892
202	481	1890
203	483	1888
204	486	1886
205	488	1883
206	491	1882
207	493	1880
208	496	1877
209	498	1874
210	500	1871
211	502	1868
212	505	1866
213	507	1863
214	509	1861
215	512	1858
216	514	1856
217	516	1854
218	519	1851
219	521	1849
220	523	1846
221	526	1844
222	528	1841
223	530	1838
224	533	1835
225	535	1832
226	537	1830
227	539	1827
228	542	1825
229	544	1822
230	546	1819
231	549	1817
232	551	1814
233	553	1811
234	556	1810
235	558	1807
